name;score;version
Rougemont;111.29182363063374;1
Torricella-Taverne;74.88546820957093;1
Fontenais;37.72944511972318;1
Soazza;37.72944511972318;1
Bottens;37.11235020104427;1
Zernez;28.321537423005378;1
Collombey-Muraz;25.747607937477515;1
Deitingen;25.3202187784988;1
Fischbach-Göslikon;24.807410058528973;1
Dierikon;23.156795963606807;1
Gland;23.114762360436373;1
Kleinandelfingen;22.802408366813676;1
Gletterens;22.247046506032294;1
Porrentruy;21.941087747372674;1
Oftringen;21.858008905445;1
Lausen;21.49525476859797;1
Malans;21.350487297183353;1
Randa;21.350487297183353;1
Biberist;21.208891968898723;1
Avers;20.65525914314134;1
Altdorf (UR);20.280531537234854;1
Gerlafingen;19.630706153718506;1
Stettlen;19.56971822987678;1
Langenthal;19.51810894583771;1
Tenero-Contra;19.293457796931612;1
Alpnach;19.2654298311718;1
Aesch (BL);18.990116149590804;1
Collex-Bossy;18.876492333945748;1
Conthey;18.856395864133045;1
Prilly;18.735772964493272;1
Saas-Almagell;18.645079824186165;1
Täsch;18.642740190513365;1
Grono;18.59504014896162;1
Le Mont-sur-Lausanne;18.58937782300572;1
Coppet;18.53866100102211;1
Heiden;18.167325586882992;1
Sierre;17.65762713969044;1
Feuerthalen;17.648882655679106;1
Meiringen;17.54353459380179;1
Paradiso;17.204498170195457;1
Saas-Grund;17.187784567428405;1
Versoix;17.139814661133258;1
Mesocco;17.081486878247887;1
Collina d'Oro;16.939078291020767;1
Kloten;16.768861618317686;1
Matten bei Interlaken;16.730546264367046;1
Gruyères;16.6787023325266;1
Ayent;16.623240036745916;1
Vevey;16.456504523385014;1
Vétroz;16.398336600609053;1
Dornach;16.2695022501426;1
Saillon;16.192195248878274;1
Magliaso;15.893827474233243;1
Ligerz;15.867709220029274;1
Moutier;15.748382884104496;1
Bürglen (TG);15.717068964578797;1
Menziken;15.256552530304564;1
Riedholz;15.242158065683705;1
Rochefort;15.062664281482599;1
Ursenbach;14.90630624286013;1
Landquart;14.900616880666101;1
Fraubrunnen;14.489289321882486;1
Stansstad;14.343836615471368;1
Muntogna da Schons;14.077610494970541;1
Plan-les-Ouates;13.892260291191706;1
Roveredo (GR);13.817032894012161;1
Egerkingen;13.797965315570494;1
Ebikon;13.747989783275536;1
Eschlikon;13.634368911015246;1
Haute-Sorne;13.611963421239928;1
Sion;13.5721312100579;1
Saint-Léonard;13.572064507554085;1
Küsnacht (ZH);13.518443669381526;1
Crissier;13.430209767352967;1
Rheinau;13.332823085897719;1
Ardon;13.29302368663821;1
Ollon;13.117282260754415;1
Frenkendorf;13.090867820331397;1
Interlaken;13.054852816987774;1
Aubonne;12.956009593659141;1
Vouvry;12.905569732330726;1
Onsernone;12.88121913236487;1
Wilderswil;12.818632982279384;1
Collonge-Bellerive;12.714037832495606;1
Roche (VD);12.675339335842779;1
Rickenbach (ZH);12.585278742544928;1
Amriswil;12.584573108481655;1
Balsthal;12.56472056836892;1
Manno;12.468340332623013;1
Savigny;12.448426620356514;1
Sattel;12.448426620356514;1
Val-de-Charmey;12.405066507396134;1
Bergün Filisur;12.387432419759381;1
Savièse;12.378022055047365;1
Gampelen;12.335892435615934;1
Cheseaux-Noréaz;12.335892435615934;1
Elgg;12.317068763845292;1
Lyss;12.311988597277745;1
Arlesheim;12.281863726215898;1
Bürglen (UR);12.239322797863966;1
Montfaucon;12.238572735705546;1
