name;score;version
Rougemont;111.0;1
Torricella-Taverne;75.0;1
Soazza;38.0;1
Fontenais;38.0;1
Bottens;37.0;1
Zernez;28.0;1
Collombey-Muraz;26.0;1
Deitingen;25.0;1
Fischbach-Göslikon;25.0;1
Dierikon;23.0;1
Gland;23.0;1
Kleinandelfingen;23.0;1
Gletterens;22.0;1
Porrentruy;22.0;1
Oftringen;22.0;1
Lausen;21.0;1
Randa;21.0;1
Malans;21.0;1
Biberist;21.0;1
Avers;21.0;1
Altdorf (UR);20.0;1
Gerlafingen;20.0;1
Stettlen;20.0;1
Langenthal;20.0;1
Tenero-Contra;19.0;1
Alpnach;19.0;1
Aesch (BL);19.0;1
Collex-Bossy;19.0;1
Conthey;19.0;1
Prilly;19.0;1
Saas-Almagell;19.0;1
Täsch;19.0;1
Grono;19.0;1
Le Mont-sur-Lausanne;19.0;1
Coppet;19.0;1
Heiden;18.0;1
Sierre;18.0;1
Feuerthalen;18.0;1
Meiringen;18.0;1
Paradiso;17.0;1
Saas-Grund;17.0;1
Versoix;17.0;1
Mesocco;17.0;1
Collina d'Oro;17.0;1
Kloten;17.0;1
Matten bei Interlaken;17.0;1
Gruyères;17.0;1
Ayent;17.0;1
Vevey;16.0;1
Vétroz;16.0;1
Dornach;16.0;1
Saillon;16.0;1
Magliaso;16.0;1
Ligerz;16.0;1
Moutier;16.0;1
Bürglen (TG);16.0;1
Menziken;15.0;1
Riedholz;15.0;1
Rochefort;15.0;1
Ursenbach;15.0;1
Landquart;15.0;1
Fraubrunnen;14.0;1
Stansstad;14.0;1
Muntogna da Schons;14.0;1
Plan-les-Ouates;14.0;1
Roveredo (GR);14.0;1
Egerkingen;14.0;1
Ebikon;14.0;1
Eschlikon;14.0;1
Haute-Sorne;14.0;1
Sion;14.0;1
Saint-Léonard;14.0;1
Küsnacht (ZH);14.0;1
Crissier;13.0;1
Rheinau;13.0;1
Ardon;13.0;1
Ollon;13.0;1
Frenkendorf;13.0;1
Interlaken;13.0;1
Aubonne;13.0;1
Vouvry;13.0;1
Onsernone;13.0;1
Wilderswil;13.0;1
Collonge-Bellerive;13.0;1
Roche (VD);13.0;1
Rickenbach (ZH);13.0;1
Amriswil;13.0;1
Balsthal;13.0;1
Manno;12.0;1
Sattel;12.0;1
Savigny;12.0;1
Val-de-Charmey;12.0;1
Bergün Filisur;12.0;1
Savièse;12.0;1
Gampelen;12.0;1
Cheseaux-Noréaz;12.0;1
Elgg;12.0;1
Lyss;12.0;1
Arlesheim;12.0;1
Bürglen (UR);12.0;1
Montfaucon;12.0;1
