locality,score
Rougemont,111.29182363063374
Torricella-Taverne,74.88546820957093
Soazza,37.72944511972318
Fontenais,37.72944511972318
Bottens,37.11235020104427
Zernez,28.321537423005378
Collombey-Muraz,25.747607937477515
Deitingen,25.3202187784988
Fischbach-Göslikon,24.807410058528973
Dierikon,23.156795963606807
Gland,23.114762360436373
Kleinandelfingen,22.802408366813676
Gletterens,22.247046506032294
Porrentruy,21.941087747372674
Oftringen,21.858008905445
Lausen,21.49525476859797
Randa,21.350487297183353
Malans,21.350487297183353
Biberist,21.208891968898723
Avers,20.65525914314134
Altdorf (UR),20.280531537234854
Gerlafingen,19.630706153718506
Stettlen,19.56971822987678
Langenthal,19.51810894583771
Tenero-Contra,19.293457796931612
Alpnach,19.2654298311718
Aesch (BL),18.990116149590804
Collex-Bossy,18.876492333945748
Conthey,18.856395864133045
Prilly,18.735772964493272
Saas-Almagell,18.645079824186165
Täsch,18.642740190513365
Grono,18.59504014896162
Le Mont-sur-Lausanne,18.58937782300572
Coppet,18.53866100102211
Heiden,18.167325586882992
Sierre,17.65762713969044
Feuerthalen,17.648882655679106
Meiringen,17.54353459380179
Paradiso,17.204498170195457
Saas-Grund,17.187784567428405
Versoix,17.139814661133258
Mesocco,17.081486878247887
Collina d'Oro,16.939078291020767
Kloten,16.768861618317686
Matten bei Interlaken,16.730546264367046
Gruyères,16.6787023325266
Ayent,16.623240036745916
Vevey,16.456504523385014
Vétroz,16.398336600609053
Dornach,16.2695022501426
Saillon,16.192195248878274
Magliaso,15.893827474233243
Ligerz,15.867709220029274
Moutier,15.748382884104496
Bürglen (TG),15.717068964578797
Menziken,15.256552530304564
Riedholz,15.242158065683705
Rochefort,15.062664281482599
Ursenbach,14.90630624286013
Landquart,14.900616880666101
Fraubrunnen,14.489289321882486
Stansstad,14.343836615471368
Muntogna da Schons,14.077610494970541
Plan-les-Ouates,13.892260291191706
Roveredo (GR),13.817032894012161
Egerkingen,13.797965315570494
Ebikon,13.747989783275536
Eschlikon,13.634368911015246
Haute-Sorne,13.611963421239928
Sion,13.5721312100579
Saint-Léonard,13.572064507554085
Küsnacht (ZH),13.518443669381526
Crissier,13.430209767352967
Rheinau,13.332823085897719
Ardon,13.29302368663821
Ollon,13.117282260754415
Frenkendorf,13.090867820331397
Interlaken,13.054852816987774
Aubonne,12.956009593659141
Vouvry,12.905569732330726
Onsernone,12.88121913236487
Wilderswil,12.818632982279384
Collonge-Bellerive,12.714037832495606
Roche (VD),12.675339335842779
Rickenbach (ZH),12.585278742544928
Amriswil,12.584573108481655
Balsthal,12.56472056836892
Manno,12.468340332623013
Sattel,12.448426620356514
Savigny,12.448426620356514
Val-de-Charmey,12.405066507396134
Bergün Filisur,12.387432419759381
Savièse,12.378022055047365
Gampelen,12.335892435615934
Cheseaux-Noréaz,12.335892435615934
Elgg,12.317068763845292
Lyss,12.311988597277745
Arlesheim,12.281863726215898
Bürglen (UR),12.239322797863966
Montfaucon,12.238572735705546
Leukerbad,12.129989935517132
Liestal,12.127801996144566
Saint-Prex,12.049970455402137
Konolfingen,12.023052432257595
Zuoz,12.010691328426674
Birmensdorf (ZH),12.010018771008204
Aedermannsdorf,11.974650080502672
Spiez,11.887969793877902
Kradolf-Schönenberg,11.875115271448687
Payerne,11.861430388080015
Monteceneri,11.859905678383056
Baar,11.733314048475089
Montreux,11.688324739514616
Kappelen,11.524107263694637
Monthey,11.50111861579271
Aarburg,11.476913459025523
Raron,11.476422746150458
Chur,11.464363576341013
Leissigen,11.38991881545564
Bas-Intyamon,11.38991881545564
Herisau,11.278075582790452
Pratteln,11.162468552289136
Böztal,11.14114957984346
Eschenz,11.132433088394713
Reichenburg,11.050395906333708
Goms,10.920469041132167
Thusis,10.868053342522028
Courrendlin,10.778094683349806
Wangen an der Aare,10.750297839870655
Suhr,10.706949346816847
Nuglar-St. Pantaleon,10.704281272635894
Walzenhausen,10.704046250334573
La Neuveville,10.691646594333424
