name,score,version
Lugano,98.69,2
Cheseaux-sur-Lausanne,95.56,2
Lancy,79.37,2
Renens (VD),76.86,2
Chêne-Bourg,73.98,2
Fribourg,70.59,2
Arth,68.44,2
Visperterminen,68.38,2
Vaux-sur-Morges,68.38,2
Aigle,62.53,2
Ried-Brig,61.2,2
Locarno,59.36,2
Chiasso,54.73,2
Lac de Neuchâtel (BE),53.19,2
Vuisternens-devant-Romont,47.43,2
Bellinzona,46.97,2
Nyon,42.34,2
Zermatt,39.94,2
Schaffhausen,39.47,2
Martigny,39.33,2
Prilly,37.17,2
Landquart,34.74,2
Sion,32.94,2
Altdorf (UR),32.08,2
Kriens,30.45,2
Bussigny,27.47,2
Villeneuve (VD),26.69,2
Paradiso,26.52,2
Murten,26.24,2
Rapperswil-Jona,26.18,2
Versoix,25.68,2
Mendrisio,24.74,2
Schlieren,23.64,2
Coppet,22.73,2
Niederried bei Interlaken,22.64,2
Tenero-Contra,22.39,2
Sierre,22.27,2
Täsch,21.38,2
Romanshorn,21.24,2
Olten,20.1,2
Weinfelden,20.08,2
Uster,19.97,2
Kilchberg (BL),19.74,2
Delémont,19.39,2
Bülach,19.04,2
Sursee,18.93,2
Churwalden,17.9,2
Horw,17.29,2
Maur,17.22,2
Comunanza Cadenazzo/Monteceneri,16.36,2
Altstätten,16.36,2
Dietikon,15.89,2
Zofingen,15.77,2
Biasca,15.54,2
Puidoux,14.89,2
Allaman,14.67,2
Givisiez,14.4,2
Lenzburg,14.37,2
Aeschi bei Spiez,14.24,2
Rolle,14.12,2
Samedan,14.0,2
Rüti (ZH),13.61,2
Bex,13.41,2
Sargans,12.7,2
Wädenswil,12.46,2
Göschenen,12.35,2
Cossonay,12.23,2
Gland,12.05,2
Muttenz,11.63,2
Ebikon,11.63,2
Einsiedeln,11.4,2
Saxon,11.34,2
Bellevue,11.16,2
Uzwil,11.16,2
Koblenz,11.06,2
Porrentruy,11.04,2
Aeschi (SO),10.92,2
Brugg,10.86,2
Pully,10.85,2
Schönenwerd,10.8,2
Lutry,10.8,2
Ins,10.68,2
Monthey,10.68,2
Stans,10.44,2
Dully,10.32,2
Mellingen,10.32,2
Herisau,10.32,2
Meyrin,10.17,2
Waldkirch,9.91,2
Corcelles-près-Payerne,9.86,2
Küssnacht (SZ),9.85,2
Riddes,9.76,2
Glarus Süd,9.61,2
Rümlang,9.61,2
Pfäffikon,9.61,2
Rorschacherberg,9.59,2
Wiesendangen,9.56,2
Root,8.89,2
