commune,third_sector_job_score,building_score,demographie_score,restau_score,third_sector_establishment_score,total
Zürich,0.10117433483367441,10.0,10.0,0.3110182067428817,1.1843681499211693,21.596560691497725
Rougemont,0.22675904925956833,7.528961009933888,2.9882077265952467,10.0,0.7938889409655365,21.53781672675424
Montet (Glâne),0.6077106510899417,7.213969509949946,3.104779159579276,0.0,10.0,20.926459320619166
Ursins,10.0,7.323283513501956,3.0169640417652888,0.0,0.0,20.340247555267243
L'Abergement,0.3577716099738946,7.43336679166402,3.0373675884076032,0.0,9.337933862103647,20.166439852149164
Lancy,0.16423415473124622,8.956761221000233,7.271589537695981,0.6293371502818138,2.5857822381200672,19.607704301829344
Chapelle (Glâne),0.3047452088811949,7.327958812682095,3.076502593698863,0.0,8.673793444261065,19.38300005952322
Lausanne,0.08387180161191207,6.8908486453322855,9.75259802351582,0.6871525302311318,1.2989484448012092,18.713419445492356
Bioley-Magnoux,0.19170075037456286,7.362717126174637,3.053747875111305,0.0,7.864519156276201,18.472684907936706
Eschert,0.19870655036264026,7.481511908959279,3.0099720509985386,0.0,7.69788881607033,18.388079326390788
Treytorrens (Payerne),0.0,7.420716173230653,3.017435325043528,0.0,7.891160587069052,18.329312085343233
Arnex-sur-Nyon,0.34238908558825265,7.478488495332432,3.066220614604514,0.0,7.362875325402734,18.249973520927934
Torricella-Taverne,0.15083149157868167,7.091714844349193,3.0293381010264864,6.72874841714412,1.027165111209255,18.027797965307734
Crissier,0.1303780995048348,9.30204932955597,4.76234132647657,1.20675619548894,2.2568325251615735,17.658357476187888
Plan-les-Ouates,0.2271915512216576,9.030227603979998,4.706729624271226,1.248273218821421,2.3616525724069786,17.57407457070128
Aranno,0.20480725366364708,7.365894330013976,3.003198239423022,0.0,6.485869713676905,17.05976953677755
Rennaz,0.7251429510791755,7.287950665794317,3.0967023110283103,0.32337304408342565,5.615661992090172,17.0488309640754
Niederried bei Interlaken,0.34958514575370897,7.42330306118412,3.0172903137447427,0.0,6.23189177233164,17.02207029301421
Pleigne,0.21306757527498701,7.67593841451868,2.982625727372986,0.0,6.1361616932248895,17.007793410391542
Randa,0.334275784858708,7.421176649558934,2.999656407389451,1.9184237081102609,4.1905231099091855,16.86405565982654
Lovatens,0.0,7.407784799518625,3.0284200574114863,0.0,6.285122959427786,16.7213278163579
Cama,0.10667001349366115,7.891286793149037,3.0358669919881787,0.0,5.6683538084671685,16.702177607098044
Crésuz,0.6396343741742311,7.558061826377615,3.107873315002093,0.0,5.3481579239776975,16.653727439531636
Troinex,0.1899426076662977,9.994099507214898,3.473825078828188,0.0,2.9896796836779114,16.647546877387295
Orzens,0.19369841951670397,7.323283513501956,3.0487638688734178,0.0,6.022910369464007,16.588656171356085
Oberhallau,0.26181002730013997,7.52311478832937,2.975764982588354,0.0,5.79469036916216,16.555380167380022
Courchapoix,0.4205931711306165,7.822007055582774,3.035375624771652,0.0,5.247560195472171,16.525536046957214
Känerkinden,0.27379962805640473,7.341430812351835,2.993332958851082,0.0,5.890072790904942,16.498636190164262
Valeyres-sous-Ursins,0.2338306684087441,7.457872458557079,3.0018807354838333,0.0,5.737781804472775,16.43136566692243
Botterens,0.2116676466473775,6.965201872744572,3.1752839916713884,0.0,6.051406612888742,16.40356012395208
Kleinbösingen,0.2169669755849665,7.078316557251946,3.057825530778039,0.0,6.022809495350407,16.37591855896536
Trey,0.11018322578817699,7.376127880632251,3.0422564140610016,0.0,5.8245806603928525,16.353148180874282
Ependes (VD),0.4568671489402943,7.5377265448808854,3.0244606938070024,0.0,5.332633071805904,16.351687459434086
Chêne-Bougeries,0.11366602891958746,8.392752189025495,4.709563329311683,0.7832629829334266,2.3494938536131853,16.348738383803376
Herbetswil,0.18673419158125323,7.666497367818757,3.0543022206893253,0.36751307106420467,5.037838524826274,16.312885375979814
Rossenges,0.27273292826807954,7.23712044102073,3.0565938021684356,0.0,5.691792378032001,16.258239549489247
Dübendorf,0.0782901722951287,8.390262213190539,6.117371766634992,0.494977517707835,1.0704545601560518,16.151356229984547
Champagne,0.278006817062344,7.338770989656634,3.0007699138830124,0.27436949798018007,5.2276992467613015,16.119616465343473
Prévondavaux,0.7223837530999578,7.386583301531074,3.083166623197789,0.0,4.924602963616358,16.11673664144518
Mathod,0.2967003224019717,7.745204482373122,3.096107974818292,0.0,4.9443600946156225,16.082372874209007
Bedigliora,0.1752098447007109,7.4425031324303985,2.972974566038719,0.0,5.442612582425257,16.033300125595083
Fontenais,0.167881458054665,7.370732614476569,2.9675180539913457,3.390136300124201,2.0649567063510594,15.961225132997841
Renens (VD),0.13372054588362192,9.309870879077334,4.285955990445851,0.16352181709557773,2.0347636327534415,15.927832865255827
Fontaines-sur-Grandson,0.3476814345111433,7.350258298352297,3.0411132427105914,0.0,5.1785358074000705,15.917588782974102
Saillon,0.20315973026309628,8.669244255224394,3.5131329042523936,1.454931253765643,2.0548439910173255,15.89531213452285
Campo (Vallemaggia),0.16628335106633646,7.407784799518625,3.022472782413542,0.0,5.268028628033832,15.864569561032337
Walliswil bei Niederbipp,0.07270945543946698,7.384412054651424,3.0267848827584505,0.0,5.272468086055772,15.756374478905114
Bretonnières,0.3828803494095993,7.3786839830749065,3.0456395728183296,0.0,4.933844935841746,15.74104884114458
Seewis im Prättigau,0.182240962799138,7.164620264511161,3.053728312298004,0.02852357487871483,5.308883803139573,15.737996917626592
Furna,0.3697299504306049,7.314954504228327,3.033826961011582,0.12687944187557784,4.8260282264688215,15.671419084014913
Inden,0.4000321997643526,7.376141930375889,3.022083925122328,0.0,4.86452790534424,15.662785960606811
Mont-la-Ville,0.3113414555011256,7.344084197990095,3.1202891338058802,0.0008887618203160156,4.8749143960526515,15.65151794517007
Bottens,0.1186531606904032,7.310004330529077,2.997558311220006,3.3346879393598936,1.8601456666272578,15.621049408426638
Belmont-sur-Yverdon,0.09496394691752574,7.689547208176404,3.078394834099574,0.0,4.675805771587582,15.538711760781085
Soazza,0.2340177542133341,7.395543941399548,3.035147774222828,3.390136300124201,1.456364962530607,15.511210732490518
Collombey-Muraz,0.11961730851884406,6.689177738103729,3.7023587854520295,2.3135219729107157,2.597896686855938,15.422572491841256
Echichens,0.06499885319496378,7.5875554191133565,3.4016954581232763,0.00911276895295644,4.35864527826928,15.422007777653832
Thônex,0.11864656156866954,7.951538971110161,4.375214984809063,0.8399492961601237,2.127464562483983,15.412814376132
Chavannes-près-Renens,0.13590964273132458,7.88905661368623,3.9552487793376336,0.8975928811547964,2.499707835176565,15.37751575208655
Mauborget,0.2737727665763194,7.428719591971174,3.0572804690947293,0.0,4.598280361748486,15.35805318939071
Burg im Leimental,0.3099743890617914,7.895495558975719,3.015801538235491,0.0,4.099148913703079,15.320420399976081
Meyrin,0.09421231124151738,7.631100900165423,5.428100190409254,0.4925139982135279,1.6659869846960946,15.311914384725817
Pomy,0.2730664941223661,7.471827551081828,3.1381970864339674,-1.5820934265357587,5.983408842885704,15.284406547988109
Fisibach,0.1458970660505137,7.0298277075387325,3.1015634432304937,0.25296222785651895,4.721302728990814,15.251553173667075
Sembrancher,0.16301498249820526,7.518748343915182,3.1101833787535,0.8049174858347448,3.6286443943990627,15.225508585400693
Sion,0.09677791473763767,8.483511326210365,3.896620873290003,1.2195083850097044,1.4818818965295573,15.178300395777267
Aesch (ZH),0.2224047034382194,7.463904281970742,3.3492117337756317,0.0,4.13187784630898,15.167398565493572
Flerden,0.06657431957398703,7.762624997158635,3.044120740117788,0.0,4.273545641384782,15.146865698235192
Blonay - Saint-Légier,0.1040435320462753,8.971937480282126,3.9539601863649416,-0.18835330767657943,2.2754371813393,15.117025072356064
